fd_id,depth_Base_075,depth_Base_100,depth_Base_125,depth_Base_150,depth_Base_175,depth_Base_200,depth_Base_225,depth_Base_250,depth_Base_275,depth_Base_300,depth_Base_325,depth_Base_350,depth_Base_375,depth_Base_400,depth_Levee_075,depth_Levee_100,depth_Levee_125,depth_Levee_150,depth_Levee_175,depth_Levee_200,depth_Levee_225,depth_Levee_250,depth_Levee_275,depth_Levee_300,depth_Levee_325,depth_Levee_350,depth_Levee_375,depth_Levee_400,naccs_loss_Base_075,naccs_loss_Base_100,naccs_loss_Base_125,naccs_loss_Base_150,naccs_loss_Base_175,naccs_loss_Base_200,naccs_loss_Base_225,naccs_loss_Base_250,naccs_loss_Base_275,naccs_loss_Base_300,naccs_loss_Base_325,naccs_loss_Base_350,naccs_loss_Base_375,naccs_loss_Base_400,naccs_loss_Levee_075,naccs_loss_Levee_100,naccs_loss_Levee_125,naccs_loss_Levee_150,naccs_loss_Levee_175,naccs_loss_Levee_200,naccs_loss_Levee_225,naccs_loss_Levee_250,naccs_loss_Levee_275,naccs_loss_Levee_300,naccs_loss_Levee_325,naccs_loss_Levee_350,naccs_loss_Levee_375,naccs_loss_Levee_400,loss_diff_125,loss_diff_150,loss_diff_175,loss_diff_200,loss_diff_225,loss_diff_250,loss_diff_275,loss_diff_300,loss_diff_325,loss_diff_350,loss_diff_375,loss_diff_400,depth_diff_075,depth_diff_100,depth_diff_125,depth_diff_150,depth_diff_175,depth_diff_200,depth_diff_225,depth_diff_250,depth_diff_275,depth_diff_300,depth_diff_325,depth_diff_350,depth_diff_375,depth_diff_400,bg_id
528688183,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.1656,-0.3656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.7656,-1.1656,-0.3656,9990.582103519948,10030.963166157397,9926.700586057692,10055.738869671146,9946.969386061366,10046.312261503022,9921.306585626766,9993.434421081685,9979.800395292314,9959.740246469084,10003.463296577676,9968.749084505547,12915.97204739707,19360.897505345438,10029.721686139113,10012.655811909606,9956.715332686523,9950.974891965709,9937.166696590564,9944.119363431699,9985.374595865906,10032.278430032595,9946.346685135923,10038.834647096159,9932.515483273643,9989.170519606247,12915.836588614764,19284.536878099174,30.01474662883007,-104.76397770543643,-9.802689470801866,-102.19289807132502,64.06801023913894,38.84400895090974,-33.45371015639108,79.09440062707496,-70.94781330403475,20.421435100700634,-0.13545878230475245,-76.36062724626558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245102101001
528688191,-1.7694,-1.7694,-1.7694,-1.7694,-1.7694,-1.7694,-1.7694,-1.7694,-1.7694,-1.7694,-1.5694,-0.6694,0.13059999999999997,0.9306,-1.7694,-1.7694,-1.7694,-1.7694,-1.7694,-1.7694,-1.7694,-1.7694,-1.7694,-1.7694,-1.5694,-0.6694,0.13059999999999997,0.9306,13516.135368492936,13579.244457824296,13512.130156812187,13676.68262369908,13648.458116446674,13536.772838682049,13487.7943400985,13545.259055590323,13551.912492957354,13447.312153065064,14697.535250400411,22147.302250629946,32878.70343177273,44631.35473904843,13553.383286901882,13423.26503204293,13555.853618003128,13504.973724908039,13511.24125635809,13611.805874983913,13543.559286641943,13568.661276442595,13601.837446290594,13542.36863617776,14759.201369562972,22005.04385196205,32902.80640647298,44653.34336403426,43.723461190938714,-171.70889879104368,-137.21686008858632,75.03303630186255,55.76494654344177,23.402220852273814,49.92495333324222,95.0564831126963,61.66611916256113,-142.2583986678961,24.102974700247774,21.98862498583493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245102101001
528688221,-1.7682,-1.7682,-1.7682,-1.7682,-1.7682,-1.7682,-1.7682,-1.7682,-1.7682,-1.7682,-1.6682,-0.8682,-0.06820000000000002,0.7318,-1.7682,-1.7682,-1.7682,-1.7682,-1.7682,-1.7682,-1.7682,-1.7682,-1.7682,-1.7682,-1.6682,-0.8682,-0.06820000000000002,0.7318,12158.213557854717,12210.128395471673,12207.581828039407,12200.19568774725,12168.583482621085,12212.823753094874,12109.61388303471,12208.449107095452,12257.494981909538,12124.516011069698,12609.972576680186,18105.821830449997,27028.02035960725,37864.99161535378,12118.662908452474,12259.383204794609,12151.570302588754,12266.362159841985,12209.818212084789,12199.100911071027,12305.171318615676,12209.038058644894,12184.579968301436,12210.921759290324,12683.387121859227,18126.217654387074,27076.70302702409,37899.89914999193,-56.01152545065461,66.16647209473517,41.23472946370557,-13.722842023844958,195.55743558096668,0.5889515494426151,-72.91501360810106,86.40574822062734,73.41454517904108,20.39582393708015,48.68266741684031,34.90753463815436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245102102001
528688231,-1.7741,-1.7741,-1.7741,-1.7741,-1.7741,-1.7741,-1.7741,-1.5741,-0.7741,0.12589999999999998,0.9259,1.7259,2.5259,3.3259,-1.7741,-1.7741,-1.7741,-1.7741,-1.7741,-1.7741,-1.7741,-1.5741,-0.7741,0.12589999999999998,0.9259,1.7259,2.5259,3.3259,13530.312789797395,13577.781527138299,13476.392566871678,13458.76091353429,13508.39798094418,13531.4348193744,13479.131554013962,14540.401437899902,20791.062333066584,32623.748786322445,44391.77206225673,54746.13746743984,62832.28537067486,70135.88156029902,13551.905217675974,13543.714747862152,13447.849742499555,13437.175259161142,13514.928128228066,13529.867181204754,13374.342864407277,14612.714205882567,20993.559480072432,32700.68669467229,44307.36242575596,54530.84265726088,62769.6967811003,70213.69689611037,-28.542824372123654,-21.585654373147463,6.530147283885173,-1.5676381696448554,-104.78868960668493,72.3127679826654,202.49714700584684,76.93790834984917,-84.40963650077182,-215.29481017896273,-62.588589574563564,77.815335811353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245102101001
528707869,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,-1.7337,27704.44065343516,27439.234412169604,27640.472066588187,27447.661305166053,27456.74412880953,27665.797253113557,27603.44849979992,27352.808554298692,27636.581282748775,27444.106953950166,27410.021088604695,27404.13380268336,27685.32319754884,27617.349100392694,27545.264394512273,27519.890403722824,27462.916605113478,27394.331041209753,27544.060069029074,27633.222941336437,27565.383167913125,27461.757619341963,27548.791545147258,27524.84063578332,27621.422002429696,27481.57662169776,27673.44090479196,27562.97032707591,-177.5554614747116,-53.33026395630592,87.3159402195406,-32.57431177712249,-38.06533188679255,108.94906504326977,-87.78973760152117,80.73368183315556,211.4009138249991,77.44281901439797,-11.882292756882293,-54.37877331677923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245102301001
528707890,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.1154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.7154,-1.1154,34998.605934917316,35165.84286601392,34998.27193819135,35118.816477226144,35080.59782649597,34826.89120823748,34836.83098378731,34985.89646475267,35004.31334203883,34932.716279765875,34901.94663186196,34850.2062087347,34745.57083077391,45793.454772377976,35087.15352515002,35080.123420519645,35101.01797964851,34805.83045548278,34951.783516958836,34780.11880383263,34946.27148789772,34956.49270986941,35020.57055475948,34746.48025170623,34898.57687756317,34958.86783297001,34799.334217659154,46113.21295511357,102.74604145716026,-312.9860217433675,-128.81430953713405,-46.772404404846135,109.44050411041064,-29.403754883266984,16.257212720645093,-186.236028059648,-3.369754298791425,108.66162423531415,53.76338688523731,319.75818273560026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245102301001
528707909,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.5233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.7233,-1.5233,24080.258099454466,24228.011668309307,23973.65885220307,23929.67792894521,24042.68453221779,24275.823670916365,24038.14519973907,24197.51135185471,24132.217251973096,23926.28166164681,24075.17884560639,23955.939285283042,23999.21103147784,26455.215529937715,24168.31143938697,23956.406071762565,24131.449727047253,24133.146901673874,24204.026155456806,24081.13684654728,24123.056815685894,24025.319053365227,23927.400320169534,24278.3206548906,24043.82626075426,24150.593950980932,24039.82128843779,26427.119586982055,157.7908748441826,203.46897272866545,161.34162323901492,-194.6868243690825,84.91161594682261,-172.19229848948353,-204.81693180356473,352.0389932437881,-31.35258485213353,194.65466569788813,40.61025695994778,-28.09594295566116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245102301001
528707933,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.6189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.7189,-1.6189,11769.064931456754,11745.600729283107,11847.900093391205,11801.27371013708,11826.419412478866,11802.119430295506,11736.198579021986,11736.40722339084,11821.985735036202,11813.00630875711,11766.647388356654,11804.172160770006,11803.550930962612,12295.63764820668,11772.566072143072,11731.032948094104,11722.276453705012,11821.999266775632,11812.749963510405,11831.994616812603,11721.77129001874,11788.602418941598,11883.927642621986,11769.136470679401,11759.284779620124,11783.525502181616,11753.575523282603,12293.944883110871,-125.62363968619529,20.725556638552604,-13.669448968461072,29.87518651709555,-14.427289003245148,52.195195550759145,61.94190758578351,-43.869838077710334,-7.362608736530691,-20.646658588391443,-49.97540768000874,-1.6927650958113154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245102301001
528707957,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-0.9384,-0.1384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-1.7384,-0.9384,-0.1384,20515.919276929242,20517.73705338285,20674.37760937882,20642.258563051913,20705.93876367892,20624.03704293145,20512.931785605073,20561.104406802606,20539.49674810384,20539.37866062954,20527.27802053657,20491.002808616773,29829.859692216534,45724.79644629674,20572.57197391336,20622.843460581098,20568.428863158853,20687.578053735073,20572.220494449633,20772.808161644498,20598.99425251228,20567.86389606026,20549.324097897934,20563.95151286805,20488.645804602267,20610.684342315446,29908.553906012552,45488.1836181054,-105.9487462199623,45.31949068315581,-133.7182692292901,148.77111871304717,86.0624669072065,6.759489257651644,9.827349794094253,24.57285223851028,-38.63221593430657,119.68153369867348,78.69421379601704,-236.612828191336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245102301001
528707958,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.4215,-0.6215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.7215,-1.4215,-0.6215,9763.077373888544,9807.452833913809,9758.642742803759,9766.661307199358,9700.485584288519,9722.544714529395,9736.795929965925,9716.923895877586,9783.448586692166,9776.22399438614,9778.794934951895,9749.205992116915,11256.563320312334,16285.896297911859,9793.668090924139,9708.073515775695,9623.188765247321,9779.794301545573,9739.948682120348,9792.420629169392,9768.668706214297,9773.654174601932,9752.946207544772,9762.434021261903,9754.437724564134,9713.725889435727,11221.59191815248,16195.331506248593,-135.45397755643785,13.132994346214927,39.46309783182872,69.87591463999614,31.872776248372013,56.73027872434539,-30.502379147394198,-13.789973124238871,-24.357210387762414,-35.48010268118733,-34.97140215985509,-90.5647916632665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245102301001
