,year,month,highest,MHHW,MHW,MSL,MTL,MLW,MLLW,DTL,GT,MN,DHQ,DLQ,HWI,LWI,lowest,inferred
56,1907,3,0.242,,-0.148,-0.315,-0.322,-0.495,,,,0.347,,,11.690,6.010,-1.129,0
57,1907,4,0.334,,-0.169,-0.343,-0.337,-0.504,,,,0.335,,,11.660,5.880,-1.190,0
58,1907,5,0.334,,-0.062,-0.233,-0.236,-0.410,,,,0.347,,,11.580,5.820,-0.794,0
59,1907,6,0.486,,0.029,-0.142,-0.145,-0.318,,,,0.347,,,11.590,5.850,-0.581,0
60,1907,7,0.273,,-0.020,-0.206,-0.203,-0.389,,,,0.369,,,11.820,5.940,-0.703,0
61,1907,8,0.334,,-0.005,-0.194,-0.190,-0.376,,,,0.372,,,11.860,5.930,-0.672,0
62,1907,9,0.456,,-0.035,-0.200,-0.209,-0.379,,,,0.344,,,11.740,6.050,-0.763,0
63,1907,10,0.334,,-0.123,-0.273,-0.288,-0.450,,,,0.326,,,11.940,5.920,-1.068,0
64,1907,11,0.395,,-0.114,-0.276,-0.276,-0.434,,,,0.320,,,11.740,5.900,-0.885,0
65,1907,12,0.334,,-0.129,-0.291,-0.300,-0.471,,,,0.341,,,11.750,5.910,-1.099,0
66,1908,1,0.608,,-0.227,-0.386,-0.407,-0.587,,,,0.360,,,11.850,6.020,-1.800,0
67,1908,2,0.486,,-0.227,-0.410,-0.416,-0.605,,,,0.378,,,11.710,5.920,-1.373,0
68,1908,3,0.181,,-0.148,-0.322,-0.331,-0.510,,,,0.363,,,11.730,6.160,-0.824,0
69,1908,4,0.303,,-0.163,-0.349,-0.346,-0.529,,,,0.366,,,11.700,6.090,-1.099,0
70,1908,5,0.303,,-0.026,-0.203,-0.209,-0.392,,,,0.366,,,11.710,6.000,-0.855,0
71,1908,6,0.425,,0.011,-0.163,-0.166,-0.346,,,,0.357,,,11.820,6.030,-0.672,0
72,1908,7,0.334,,0.020,-0.175,-0.166,-0.355,,,,0.375,,,11.790,5.790,-0.672,0
73,1908,8,0.364,,0.066,-0.108,-0.105,-0.273,,,,0.338,,,11.800,5.930,-0.703,0
74,1908,9,0.486,,0.072,-0.120,-0.114,-0.300,,,,0.372,,,11.800,5.940,-0.733,0
75,1908,10,0.364,,0.011,-0.136,-0.160,-0.331,,,,0.341,,,11.750,5.860,-0.885,0
76,1908,11,0.212,,-0.209,-0.367,-0.373,-0.538,,,,0.329,,,11.830,5.850,-1.129,0
77,1908,12,0.486,,-0.200,-0.361,-0.367,-0.535,,,,0.335,,,11.730,5.820,-1.068,0
78,1909,1,0.181,,-0.206,-0.361,-0.379,-0.556,,,,0.351,,,11.790,5.910,-1.007,0
79,1909,2,0.486,,-0.206,-0.364,-0.379,-0.550,,,,0.344,,,11.810,6.050,-1.373,0
80,1909,3,0.486,,-0.215,-0.364,-0.382,-0.550,,,,0.335,,,11.640,5.970,-0.977,0
81,1909,4,0.303,,-0.117,-0.288,-0.282,-0.446,,,,0.329,,,11.780,5.890,-1.129,0
82,1909,5,0.334,,0.020,-0.142,-0.151,-0.322,,,,0.341,,,11.690,6.080,-0.794,0
83,1909,6,0.303,,0.002,-0.163,-0.169,-0.340,,,,0.341,,,11.700,5.870,-0.611,0
