GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,perc_area_flood,N_perc_area_flood
G24000504015043,722,189450,1616.166205,38.70498615,1.979224377,2.096952909,0.228659482,0.795449531,0.562081212,0.435617776,-331.7589185,0,0
G24000504015051,316,157250,1462.639241,52.62658228,1.503164557,1.655063291,0.185685133,0.71026949,0.789420596,0.258529918,-10642.32058,0,0
G24000504015052,521,150000,1380.257198,48.42610365,1.607485605,1.763915547,0.162625245,0.735970346,0.739602733,0.302152606,-14782.31922,0,0
G24000504015053,356,175000,1422.668539,53.59269663,1.313202247,1.764044944,0.174496774,0.704358267,0.880135907,0.302204462,-7289.242088,0,0
G24000504015061,218,234065,1566.844037,28.26146789,2.082568807,1.995412844,0.214853516,0.859348765,0.512729726,0.394925459,52678.23506,0,0
G24000504015062,1168,152812.5,1262.514555,26.16181507,2.001712329,1.999143836,0.129667429,0.872195604,0.551342231,0.396420659,-10358.74603,0,0
G24000504015063,1258,135412.5,1235.061208,28.37599364,2.013513514,1.83227345,0.121982853,0.858648033,0.545706649,0.329547127,-12640.63245,0,0
G24000504015071,469,119000,1374.955224,47.25159915,1.78358209,1.729211087,0.161141148,0.743156616,0.65550896,0.288244747,-33281.76901,0.011914784,0.018811541
G24000504015072,443,117900,1645.37246,54.2731377,1.426636569,1.55530474,0.236834723,0.700194951,0.825966057,0.218551545,-62273.06186,0,0
G24000504015073,42,116350,1540.928571,51.5,1.404761905,1.452380952,0.207599414,0.717162545,0.836412166,0.177304699,-52381.25019,0,0
G24000504022011,860,249250,2356.1,48.00697674,1.65872093,2.123255814,0.435777321,0.738534797,0.715135624,0.446158701,-15515.46953,0,0
G24000504022012,336,230000,2177.693452,52.54464286,1.532738095,1.99702381,0.385838828,0.710770841,0.775297938,0.395571055,-16348.56204,0.003496653,0.005520656
G24000504022021,664,284029.5,2752.656627,37.6310241,1.765813253,2.30873494,0.546779078,0.802020627,0.663994357,0.520489709,-26653.37955,0.00656957,0.010372302
G24000504023021,788,216587,2029.821066,37.90736041,1.797588832,2.175126904,0.344447275,0.800329848,0.648820128,0.466946109,-23996.09945,0,0
G24000504023022,736,163500,1942.023098,46.63451087,1.565896739,2.069293478,0.319871393,0.746932304,0.759463235,0.424533222,-70571.84099,0,0
G24000504023031,118,132450,1284.245763,46.66101695,1.826271186,1.483050847,0.135750299,0.746770125,0.635123049,0.1895957,5088.309823,0,0
G24000504023032,370,135000,1274.305405,55.86216216,1.386486486,1.662162162,0.132967854,0.690472419,0.845139477,0.2613748,-22399.40869,0,0
G24000504023033,663,131213,1561.419306,36.77073906,1.953242836,2,0.213335058,0.807284327,0.574488534,0.396763768,-51180.07055,0,0
G24000504023034,537,123840,1382.927374,63.38733706,1.515828678,1.70018622,0.163372665,0.644429228,0.783372924,0.276612992,-30901.77682,0,0
G24000504023035,466,135000,1570.199571,53.527897,1.532188841,1.845493562,0.215792777,0.704754747,0.775560231,0.334845105,-51077.62954,0,0
G24000504023041,285,127900,1405.652632,59.12631579,1.480701754,1.378947368,0.169733783,0.670500518,0.800147566,0.147876091,-14344.27156,0,0
G24000504023042,312,121000,1612.102564,58.91025641,1.698717949,1.544871795,0.227522012,0.671822489,0.696035299,0.214370528,-35317.12589,0,0
G24000504023043,422,108725,1332.414692,68.51184834,1.449052133,1.613744076,0.149233457,0.613074627,0.815261645,0.241971187,-36504.18483,0,0
G24000504023051,215,125000,1550.451163,60.1627907,1.423255814,1.851162791,0.210264921,0.66415879,0.827580515,0.337117056,-61210.58024,0.073436814,0.115944996
G24000504023052,116,150752,1768.267241,78.53448276,1.767241379,1.620689655,0.271234694,0.551750595,0.663312364,0.244754637,-3256.96494,0.082124251,0.129661071
G24000504023061,446,128750,1475.334081,62.66591928,1.671524664,1.405829596,0.189238597,0.648843262,0.709021282,0.15864918,-6329.30944,0,0
G24000504023062,254,145000,1407.590551,50.26377953,1.334645669,1.968503937,0.170276234,0.724726427,0.869895735,0.384141678,-50074.64015,0.058601622,0.092522598
G24000504023071,503,119125,1227.312127,28.08747515,2,1.805168986,0.119813776,0.860413349,0.552159943,0.318684977,-27669.36585,0,0
G24000504023072,659,119000,1494.39909,63.12898331,1.583459788,1.638846737,0.19457516,0.646009979,0.751076111,0.252031113,-37170.37746,0,0
G24000504023073,334,113500,1440.497006,39.10479042,1.974550898,2.050898204,0.179487212,0.793003307,0.564313002,0.417161291,-58900.21512,0.011638597,0.018375485
G24000504024031,329,91459,1187.702128,71.68085106,1.653495441,1.419452888,0.108726382,0.593684912,0.717631024,0.164108733,-14647.90657,0,0
G24000504024032,531,132655,1526.608286,52.14689266,1.79472693,1.755178908,0.203590966,0.713204497,0.650186811,0.298651386,-29152.02137,0.002508712,0.003960856
G24000504024041,413,144420,1416.225182,51.98789346,1.570217918,1.682808717,0.172693188,0.714177342,0.757399683,0.269648935,-17745.50839,0,0
G24000504024042,383,113000,1325.835509,39.41253264,1.856396867,1.898172324,0.147391852,0.79112037,0.620736719,0.35595619,-47493.90369,0.002172209,0.003429571
G24000504024043,118,140125,1314.652542,57.56779661,1.313559322,1.754237288,0.144261583,0.680036402,0.879965388,0.298274031,-29447.66834,0,0
G24000504024051,470,107250,1321.346809,76.06595745,1.520212766,1.610638298,0.146135401,0.566854401,0.78127933,0.240726543,-26455.83011,0,0
