GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,perc_area_flood,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504023042,312,121000,1612.102564,58.91025641,1.698717949,1.544871795,0,0.254312451,0.671822489,0.693546042,-0.781028311,1,-30835.06913
G24000504023043,422,108725,1332.414692,68.51184834,1.449052133,1.613744076,0,0.166805514,0.613074627,0.813748768,-0.752835243,1,-38388.45723
G24000504023051,215,125000,1550.451163,60.1627907,1.423255814,1.851162791,0.073436814,0.235023358,0.66415879,0.826168521,-0.655647202,0.884055004,-58339.24532
G24000504023052,116,150752,1768.267241,78.53448276,1.767241379,1.620689655,0.082124251,0.303172247,0.551750595,0.660555129,-0.74999205,0.870338929,5368.667544
G24000504023061,444,128625,1475.596847,62.65990991,1.672297297,1.405405405,0,0.211603423,0.64888003,0.706266383,-0.838119283,1,-4024.116849
G24000504023062,253,145000,1402.055336,50.3201581,1.33201581,1.964426877,0.058601622,0.188594229,0.724381471,0.87009643,-0.609282219,0.907477402,-50792.5924
G24000504023071,502,119097.5,1227.446215,28.09561753,2,1.806772908,0,0.133963654,0.860363529,0.548492448,-0.67381833,1,-34702.84092
G24000504023072,657,119000,1495.03653,63.08523592,1.584474886,1.640791476,0,0.217685585,0.64627765,0.748548876,-0.741763311,1,-35963.71366
G24000504023073,333,113000,1440.33033,39.12012012,1.974474474,2.051051051,0.011638597,0.200569463,0.792909512,0.560781826,-0.573822362,0.981624515,-62971.98291
G24000504024031,329,91459,1187.702128,71.68085106,1.653495441,1.419452888,0,0.121528781,0.593684912,0.715318621,-0.832368905,1,-19060.446
G24000504024032,531,132655,1526.608286,52.14689266,1.79472693,1.755178908,0.002508712,0.227563553,0.713204497,0.647322087,-0.694938484,0.996039144,-28350.44579
G24000504024041,413,144420,1416.225182,51.98789346,1.570217918,1.682808717,0,0.193027599,0.714177342,0.755412957,-0.724563431,1,-18384.88308
G24000504024042,383,113000,1325.835509,39.41253264,1.856396867,1.898172324,0.002172209,0.164747062,0.79112037,0.61763082,-0.636403713,0.996570429,-52449.19698
G24000504024043,118,140125,1314.652542,57.56779661,1.313559322,1.754237288,0,0.161248207,0.680036402,0.878982389,-0.695323938,1,-32293.5228
G24000504024051,470,107250,1321.346809,76.06595745,1.520212766,1.610638298,0,0.163342666,0.566854401,0.779488162,-0.754106602,1,-28840.53846
G24000504024052,630,126750,1508.855556,54.37936508,1.546031746,1.807936508,0,0.222009193,0.699544993,0.767057498,-0.673342007,1,-49767.77213
G24000504024062,362,144091,1412.411602,26.58287293,1.998618785,1.897790055,0,0.191834431,0.869619339,0.54915744,-0.636560196,1,-28277.6087
G24000504024063,117,120240,1440.247863,30.85470085,1.935897436,2.008547009,0,0.200543661,0.843481928,0.579354914,-0.591221515,1,-61779.99691
G24000504024071,420,120000,1267.014286,42.96190476,1.870238095,1.752380952,0,0.146343457,0.769403344,0.610966898,-0.696083835,1,-28263.69526
G24000504024072,124,159950,1759.169355,74,1.544354839,1.669354839,0,0.300325759,0.579495074,0.767864853,-0.730070816,1,-6409.692172
G24000504025031,130,142000,1812.384615,69.76923077,1.561538462,1.961538462,0,0.316975407,0.605381265,0.75959172,-0.610464601,1,-50122.35789
G24000504025032,626,170000,2153.396166,42.33226837,1.756389776,2.079872204,0,0.4236689,0.773255808,0.665779682,-0.562024339,1,-60782.22845
G24000504025041,1053,147900,1593.122507,29.15099715,1.943494777,2.057929725,0,0.248374093,0.853906132,0.575697141,-0.571006557,1,-47517.79171
G24000504025042,752,245000,2489.033245,36.41223404,1.851728723,2.317819149,0.002918754,0.528680863,0.80947786,0.619878318,-0.464620066,0.995391754,-21228.96602
G24000504025051,429,166003,1693.02331,30.88811189,1.951048951,2.1002331,0,0.279630412,0.843277501,0.57206015,-0.553689547,1,-36462.62494
G24000504025052,631,142075,1577.259905,37.58478605,1.800316957,2.098256735,0,0.243411104,0.802303536,0.644630744,-0.554498578,1,-56957.97122
G24000504025061,689,146000,1550.69521,51.2743106,1.462264151,2.043541364,0,0.235099714,0.718543438,0.807387782,-0.576896474,1,-56726.70365
G24000504025062,885,143000,1450.022599,45.46666667,1.516949153,1.863276836,0,0.203601917,0.754077822,0.781059443,-0.650688283,1,-42615.41251
G24000504025091,1724,238475,2205.12065,21.20533643,2.098897912,2.209976798,0,0.439852123,0.902522088,0.500877605,-0.508765646,1,-949.5912526
G24000504025092,651,213435,1707.639017,23.00614439,1.997695853,2.479262673,0,0.28420328,0.891503747,0.54960179,-0.398532691,1,-19679.63587
G24000504025093,849,170000,1378.177856,23.58303887,1.996466431,1.991755006,0,0.181123598,0.887973987,0.5501937,-0.598095371,1,-9352.667022
G24000504026021,448,115000,1359.390625,63.56026786,1.421875,1.448660714,0,0.17524557,0.643371141,0.82683332,-0.820412596,1,-27768.59091
G24000504026022,358,143750,1468.969274,55.89944134,1.382681564,1.796089385,0,0.209529831,0.690244324,0.845703175,-0.678191661,1,-37983.6071
G24000504026031,296,162400,1607.364865,48.39864865,1.483108108,2.141891892,0,0.25283015,0.736138331,0.797352366,-0.5366364,1,-51559.48542
G24000504026032,1220,158650,1660.517213,26.2,2.09795082,2.359016393,0,0.269460114,0.871961968,0.501333587,-0.447755855,1,-54906.92008
G24000504026033,561,161280,1950.541889,33.39928699,1.978609626,2.160427807,0,0.360201163,0.82791274,0.558790939,-0.529048669,1,-57041.06277
G24000504026041,1000,150000,1792.245,49.731,1.6795,2.052,0.003510513,0.310674254,0.727986267,0.702798609,-0.573433907,0.99445746,-56031.30507
G24000504026042,862,142250,1587.810905,52.50464037,1.467517401,2,0.005025985,0.246712233,0.711015598,0.804858581,-0.594720258,0.992064772,-58288.72515
G24000504026043,373,150000,1583.753351,58.3538874,1.490616622,1.726541555,0,0.245442732,0.675226663,0.793737358,-0.706661267,1,-25434.49605
G24000504031001,361,150000,1664.648199,68.65927978,1.418282548,1.858725762,0.007577491,0.27075259,0.61217256,0.828562922,-0.652551278,0.988036353,-35387.52988
G24000504031002,540,135000,1622.898148,62.37962963,1.530555556,1.716666667,0.00201371,0.257690103,0.65059494,0.774508579,-0.710703581,0.996820673,-36508.79203
G24000504032011,951,113400,1329.070452,53.77076761,1.658780231,1.567823344,0,0.16575919,0.70326873,0.712774235,-0.771633028,1,-29638.34856
G24000504032012,381,101000,1390.220472,62.45144357,1.501312336,1.3832021,0.011660078,0.184891414,0.650155543,0.788587859,-0.847208271,0.981590601,-35054.70457
G24000504032021,974,129035,1491.920945,67.33367556,1.695071869,1.604722793,0,0.216710801,0.620283341,0.695301463,-0.756528131,1,-13382.34153
G24000504033001,423,137000,1542.29078,77.8250591,1.566193853,1.572104019,0,0.23247019,0.556091242,0.757350361,-0.769880721,1,-5435.761233
G24000504033002,715,125000,1433.26993,69.02517483,1.592307692,1.51048951,0.042716265,0.19836045,0.609933811,0.744777736,-0.795102799,0.932557842,-11349.85393
G24000504034011,568,147150,1599.012324,72.38908451,1.675176056,1.776408451,0.002417417,0.250216861,0.589351547,0.704880391,-0.686248108,0.996183285,-10669.95805
G24000504034012,321,154000,1671.165109,29.35202492,1.979750779,2.043613707,0.013761348,0.272791559,0.852676132,0.558241526,-0.57686686,0.97827303,-42521.93983
G24000504034021,79,110000,1737.21519,64,1.765822785,1.721518987,0,0.293456882,0.640680616,0.661238117,-0.70871727,1,-53551.1552
G24000504034022,247,120000,1391.157895,76.55060729,1.651821862,1.51417004,0,0.185184708,0.563889044,0.716124373,-0.793596163,1,-5418.159546
G24000504034023,36,95750,1105,58.91666667,2,1.055555556,0,0.095653473,0.671783267,0.548492448,-0.981331335,1,25682.71734
G24000504034024,697,105000,1376.905308,68.35868006,1.956241033,1.394548063,0,0.180725451,0.614011796,0.569560398,-0.842563767,1,158.7366352
G24000504035001,381,226000,1930.110236,63.55905512,1.763779528,1.902887139,0.000814802,0.353808639,0.643378562,0.662221853,-0.63447369,0.998713557,37962.80827
G24000504035002,469,255000,2073.820896,60.77398721,1.623667377,2.32196162,0,0.398771903,0.660419151,0.729679475,-0.462924334,1,18903.01239
G24000504035003,289,250000,2310.429066,63.73702422,1.437716263,2.294117647,0.013053776,0.47280034,0.642289648,0.819206473,-0.474322345,0.979390174,-6570.266681
G24000504036011,377,195500,1653.580902,62.38461538,1.324933687,1.442970822,0,0.267289925,0.650564435,0.87350615,-0.82274177,1,29038.26154
G24000504036012,624,292000,1893.559295,33.44871795,1.879807692,2.288461538,0,0.342372816,0.827610294,0.606359573,-0.476637689,1,62405.9912
G24000504036013,291,262890,2131.958763,41.17525773,1.735395189,2.268041237,0.001317577,0.416961704,0.780335041,0.67588762,-0.484996799,0.997919756,18198.55633
G24000504036021,491,195000,1484.608961,37.45010183,1.979633401,2.148676171,0,0.214423075,0.803127609,0.558298038,-0.533859236,1,8405.035305
G24000504036022,765,234943,1992.864052,37.46666667,1.953594771,2.462745098,0,0.373442648,0.803026256,0.570834453,-0.405294208,1,-5125.050543
G24000504037011,266,221790.5,2178.650376,30.13533835,2.005639098,2.319548872,0,0.431570274,0.847883387,0.545777479,-0.463911999,1,-22097.13218
G24000504037012,289,320000,2653.217993,31.20761246,1.837370242,2.55017301,0,0.580049928,0.841322619,0.626791273,-0.369505338,1,22898.654
G24000504037013,93,2.00E+05,2199.623656,85.30107527,1.897849462,2.150537634,0,0.438132259,0.510348831,0.597673282,-0.53309724,1,3825.521056
G24000504037014,221,379444,3450.678733,53.66063348,1.533936652,3.067873303,0,0.829554298,0.703942591,0.772880736,-0.157583219,1,-1014.564877
G24000504037015,846,145250,1527.754137,39.46572104,2.028368794,1.979905437,0,0.227922059,0.790794934,0.534834164,-0.602946026,1,-27737.34377
G24000504037021,312,273351.5,2325.730769,41.74038462,1.483974359,2.141025641,0,0.477587839,0.776877281,0.796935305,-0.536991002,1,11612.37527
G24000504037022,1128,170000,1446.250887,32.20035461,1.986258865,2.17287234,0.041291483,0.202421848,0.835248473,0.555108179,-0.523954463,0.934807345,-19024.02862
G24000504038011,381,390000,3370.349081,45.39632546,1.661417323,2.813648294,0.004326923,0.804421275,0.754508209,0.711504595,-0.261650965,0.99316848,32994.18226
G24000504038021,425,377000,3393.364706,52.57176471,1.402352941,2.816470588,0.001210729,0.811622255,0.710604894,0.836232303,-0.260495651,0.998088452,8810.660187
G24000504038022,350,4.00E+05,3404.837143,48.34857143,1.504285714,2.894285714,0,0.815211677,0.736444731,0.787156312,-0.228641803,1,28367.6328
G24000504038031,564,288400,2946.735816,47.61170213,1.570921986,2.643617021,0.007798126,0.67188389,0.740953306,0.755073981,-0.331253761,0.987688005,-35178.58027
G24000504038032,367,295000,2163.343324,39.00544959,1.892370572,2.61852861,0.032824506,0.426781103,0.79361113,0.600311118,-0.341523775,0.94817535,32200.87677
G24000504041011,564,277000,2347.056738,32.27304965,1.868794326,2.203900709,0,0.48426017,0.834803684,0.611662007,-0.511252911,1,24784.00617
G24000504041012,2399,194900,1408.884535,22.85118799,1.998541059,2.146727803,0.001162154,0.190730905,0.892451856,0.549194861,-0.534656806,0.998165144,2536.527967
G24000504041021,1668,184100,1658.025779,36.67446043,1.845923261,2.052757794,0,0.26868061,0.807873413,0.622673384,-0.573123702,1,-14606.25503
G24000504041022,912,136000,1170.264254,50.42214912,1.474232456,1.403508772,0.082117795,0.116072932,0.723757434,0.801625588,-0.838895675,0.870349122,1742.49427
G24000504042011,44,150425,1620.363636,74.72727273,1.681818182,1.977272727,0,0.256897122,0.575045216,0.70168251,-0.604023733,1,-20404.84052
G24000504042012,781,140000,1340.12548,34.71190781,1.713828425,1.925736236,0,0.169218016,0.819881398,0.686271035,-0.625120346,1,-40344.15809
G24000504042013,784,242102.5,2226.362245,26.94897959,1.983418367,2.140306122,0,0.446498056,0.867379296,0.556475749,-0.537285539,1,3997.209432
G24000504042021,736,205000,1883.324728,28.49048913,1.874320652,2.167119565,0,0.339170691,0.857947486,0.609001333,-0.526309379,1,-19805.7216
G24000504042024,79,151000,1531.35443,56.72151899,1.373417722,1.392405063,0.039541616,0.229048496,0.685214397,0.850163294,-0.843441011,0.937570105,-5622.066924
G24000504044021,442,235000,2054.91629,54.78506787,1.842760181,2.13800905,0.012963311,0.392857152,0.697062679,0.624196263,-0.538225853,0.979533003,21171.2991
G24000504044022,1388,152575,1624.089337,34.01873199,1.999279539,1.525216138,0,0.258062795,0.824122632,0.548839317,-0.789074411,1,-592.6213595
G24000504044023,905,265000,2218.977901,33.2718232,1.950828729,2.325966851,0,0.44418769,0.828692634,0.572166176,-0.461284781,1,17527.90575
G24000504044031,556,206160,1774.046763,30.6852518,1.837230216,2.043165468,0,0.304980507,0.844518711,0.62685869,-0.577050349,1,-4007.415041
G24000504044032,385,220847,1982.228571,34.92207792,1.790909091,2.12987013,0,0.370115088,0.818595461,0.649160203,-0.541557543,1,-7068.931394
G24000504044041,815,220000,1722.377914,27.06625767,1.939877301,2.120245399,0,0.288814691,0.866661723,0.577438791,-0.545497455,1,10728.34394
G24000504044042,1145,180100,1696.641048,40.8209607,1.82489083,1.942358079,0,0.280762306,0.782502826,0.632799543,-0.618316146,1,-11199.58674
G24000504045011,487,2.00E+05,1418.958932,53.42505133,1.463039014,1.665297741,0,0.193882918,0.705384014,0.807014721,-0.7317316,1,33080.50637
G24000504045012,302,152750,1118.245033,59.51655629,1.082781457,1.420529801,0,0.099797493,0.66811281,0.990091426,-0.831928067,1,3110.92653
G24000504045013,344,199500,1617.959302,37.89534884,1.781976744,2.069767442,0,0.256144869,0.800403341,0.653460721,-0.566160753,1,-804.7235856
G24000504045014,847,135600,1346.263282,31.61275089,1.985832349,2.018890201,0,0.171138372,0.838843758,0.555313527,-0.5869875,1,-38025.05221
G24000504045021,354,115000,1149.788136,47.29096045,1.679378531,1.516949153,0,0.109666496,0.742915782,0.702857091,-0.792458526,1,-17775.10489
G24000504045022,209,144000,1086.253589,53.24880383,1.062200957,1.488038278,0,0.089788217,0.706462394,1,-0.804293277,1,-14585.06525
G24000504045023,197,76584,1039.152284,43.40101523,1.710659898,1.406091371,0,0.075051464,0.766716623,0.687796536,-0.837838481,1,-43166.06396
G24000504046001,609,198000,2570.801314,43.85878489,1.625615764,2.251231527,0,0.554263929,0.763915734,0.728741416,-0.491877903,1,-75927.8384
G24000504046002,223,229000,2211.170404,59.11210762,1.625560538,2.156950673,0,0.441744931,0.670587451,0.728768005,-0.530472044,1,-4999.788014
G24000504048001,337,278000,2755.807122,38.03264095,1.734421365,2.409495549,0,0.612147352,0.799563312,0.676356472,-0.427092066,1,-16091.87152
G24000504048002,258,315000,2815.713178,36.1124031,1.686046512,2.430232558,0,0.630890373,0.811312391,0.699646762,-0.418603311,1,11552.91531
G24000504049001,588,344326,2931.034014,30.91156463,1.959183673,2.581632653,0,0.666971212,0.843134004,0.568143651,-0.356627242,1,35483.71767
G24000504049002,409,341332,3521.9022,37.20537897,1.804400978,3.002444988,0,0.851838237,0.804624959,0.642664473,-0.18436649,1,-35905.53611
G24000504049003,286,260000,3645.51049,30.37062937,1.797202797,2.933566434,0,0.890512001,0.846443746,0.64613007,-0.212562127,1,-125615.1994
G24000504050001,598,240000,2143.70903,50.72742475,1.576086957,2.010033445,0,0.420638051,0.721889588,0.752587282,-0.590613038,1,10666.54932
G24000504050002,393,240000,2217.890585,61.6259542,1.6043257,1.933842239,0,0.443847498,0.655206344,0.738991613,-0.62180213,1,21818.84219
G24000504060001,401,242000,2459.448878,37.98503741,1.672069825,2.209476309,0,0.519424698,0.799854577,0.7063759,-0.508970523,1,-24329.63536
G24000504060002,252,225000,2134.138889,47.97619048,1.55952381,1.984126984,0,0.417643807,0.738723165,0.760561684,-0.601217923,1,-5114.790256
G24000504060003,387,275000,2367.560724,40.06459948,1.715762274,2.131782946,0,0.490675325,0.787130663,0.685339975,-0.540774527,1,23726.08075
G24000504060004,493,325000,2760.30426,30.6673428,1.888438134,2.37525355,0,0.613554388,0.844628288,0.602204408,-0.441109128,1,36256.82555
G24000504070011,394,289500,2388.56599,41.55583756,1.616751269,2.164974619,0,0.497247317,0.778006442,0.733009267,-0.527187419,1,30032.05855
G24000504070012,496,224450,2371.364919,44.75,1.737903226,2.10483871,0,0.491865557,0.758462786,0.674680114,-0.551804228,1,-20177.70005
G24000504070021,609,268000,2629.170772,38.18883415,1.787356322,2.210180624,0,0.572526188,0.798607635,0.6508707,-0.508682209,1,-1510.654726
G24000504070022,557,228500,2414.041293,43.51885099,1.663375224,2.136445242,0,0.505217865,0.765995638,0.710561955,-0.538866002,1,-26208.25277
G24000504070023,418,229500,2429.720096,50.13636364,1.704545455,2.023923445,0,0.510123348,0.725506028,0.690740363,-0.584927127,1,-10683.88
G24000504081001,337,305000,2777.388724,42.65281899,1.792284866,2.451038576,0,0.618899665,0.771294502,0.64849783,-0.410086307,1,13796.32059
G24000504081002,188,317500,2496.159574,42.60106383,1.986702128,2.382978723,0,0.530910503,0.771611169,0.554894768,-0.437946805,1,59100.01062
G24000504081003,884,255000,1527.674208,32.63800905,2.001131222,2.619909502,0,0.227897052,0.83257066,0.547947816,-0.340958503,1,30615.661
G24000504081004,865,292100,1926.461272,28.26011561,1.994219653,2.441618497,0,0.352666975,0.859357039,0.551275422,-0.413942444,1,52556.25306
G24000504082001,263,305000,3669.551331,34.06463878,1.758555133,3.041825095,0,0.898033744,0.823841749,0.664737161,-0.168246129,1,-88908.74387
G24000504082002,179,312900,2890.916201,54.1396648,1.650837989,2.413407821,0,0.654419409,0.701011612,0.716598063,-0.425490566,1,18324.63068
G24000504083021,219,295000,3768.776256,47.28310502,1.668949772,3.155251142,0,0.929078598,0.742963846,0.707878064,-0.121814847,1,-107496.8955
G24000504083022,763,350000,2324.609436,29.78112713,1.918741809,2.714285714,0,0.477237003,0.850050647,0.587614568,-0.302325326,1,64671.29849
G24000504083031,626,380000,3608.688498,28.83226837,1.909744409,3.067092652,0,0.878991374,0.855856291,0.591946406,-0.157902781,1,-7292.071035
G24000504083032,383,350000,3320.926893,35.5535248,1.808093995,2.851174935,0,0.78895838,0.814731919,0.640886454,-0.246289326,1,-5901.817507
